Age,Gender,CGPA,Tenth_Percentage,Twelfth_Percentage,Aptitude_Score,Coding_Score,Communication_Score,Technical_Skills,Certifications,Internship_Experience,Projects,Placement_Status
22,Male,6.99,62.83,56.8,43,33,72,5,0,0,0,Not Placed
20,Male,7.17,83.29,71.5,78,38,42,1,0,1,0,Not Placed
22,Female,7.01,73.12,90.37,80,46,65,10,3,0,4,Not Placed
20,Male,8.54,56.36,96.13,58,22,77,5,3,1,0,Not Placed
23,Female,5.69,85.34,63.42,79,70,74,9,3,0,3,Not Placed
22,Male,6.72,61.82,78.81,34,59,47,2,0,0,0,Not Placed
22,Male,9.6,78.2,85.49,62,66,76,4,1,1,2,Placed
20,Male,6.45,80.5,79.3,47,47,67,6,2,1,3,Not Placed
20,Female,7.94,92.44,69.38,63,48,78,7,3,0,4,Not Placed
20,Male,8.01,86.67,56.52,31,72,54,4,1,1,0,Not Placed
23,Male,9.07,58.54,57.48,35,94,43,2,3,0,2,Not Placed
21,Male,8.26,76.45,91.16,90,37,80,8,4,1,3,Placed
23,Female,6.24,61.01,84.09,73,81,35,8,3,2,4,Placed
20,Male,6.1,74.55,79.94,61,65,52,5,4,1,1,Not Placed
22,Male,7.06,84.25,69.55,72,44,77,7,0,0,0,Not Placed
21,Female,7.19,92.17,74.34,57,38,70,8,1,1,1,Placed
23,Female,8.98,74.17,64.29,92,82,98,1,3,2,2,Placed
20,Male,7.53,62.04,88.57,43,31,62,6,4,0,2,Placed
23,Male,9.25,63.61,58.65,51,28,65,10,1,2,4,Placed
23,Male,5.7,84.09,73.11,58,83,96,1,2,2,2,Not Placed
20,Male,9.54,75.71,64.25,62,36,58,8,5,2,0,Placed
20,Female,6.56,71.71,73.78,88,47,72,3,4,0,4,Not Placed
22,Female,8.46,72.04,86.3,79,93,91,2,2,2,0,Placed
21,Male,8.11,78.28,67.75,84,63,56,4,2,1,0,Placed
23,Male,5.79,92.28,67.29,80,66,68,9,1,2,1,Not Placed
22,Male,9.03,67.54,71.96,40,92,88,10,4,0,5,Placed
23,Female,5.72,56.06,73.6,33,47,98,9,3,0,3,Placed
20,Male,9.74,60.54,77.17,89,85,43,3,4,0,1,Placed
23,Female,8.39,81.91,66.03,100,30,69,1,1,0,1,Not Placed
20,Female,9.65,84.26,84.89,52,95,48,4,2,1,0,Placed
23,Female,5.61,62.21,55.22,99,30,92,1,4,1,1,Placed
22,Female,6.89,57.9,62.52,63,51,80,9,3,1,2,Placed
21,Male,5.99,90.04,59.23,96,40,44,6,0,0,2,Not Placed
22,Male,8.89,80.02,78.56,37,42,82,7,4,1,1,Placed
21,Male,7.48,62.48,77.32,37,60,76,7,2,0,3,Placed
23,Female,7.91,89.35,93.02,78,38,57,5,2,0,0,Not Placed
20,Male,6.55,74.51,97.65,68,34,97,5,2,2,2,Placed
23,Male,7.81,78.3,75.6,64,36,39,6,3,2,2,Placed
23,Male,7.88,59.04,69.37,62,25,39,7,5,1,4,Not Placed
20,Female,5.96,78.41,74.7,56,78,87,8,3,0,1,Not Placed
21,Male,8.82,55.91,82.23,87,65,37,8,2,0,2,Placed
21,Female,6.1,95.16,72.74,53,24,70,5,2,0,4,Not Placed
22,Female,7.47,88.81,64.97,97,100,83,9,5,0,2,Placed
20,Male,9.76,88.13,59.54,67,41,79,6,1,2,3,Placed
21,Male,8.81,58.31,72.78,66,55,80,3,3,2,4,Not Placed
20,Female,8.7,74.57,75.99,45,43,35,4,1,2,1,Placed
23,Female,7.83,95.93,75.68,82,34,42,7,4,2,1,Placed
21,Male,6.17,85.78,56.86,90,26,92,4,5,0,3,Not Placed
23,Female,8.26,82.93,97.62,32,80,97,2,0,1,2,Not Placed
23,Male,8.22,56.32,64.66,68,84,67,1,5,1,2,Placed
23,Male,6.42,72.38,77.28,33,85,55,6,1,1,1,Not Placed
22,Male,7.87,95.38,90.23,68,36,75,10,1,2,3,Placed
22,Male,7.28,73.3,65.35,66,95,32,2,0,2,0,Not Placed
22,Male,5.64,55.5,61.45,91,30,56,7,5,0,4,Not Placed
22,Female,6.8,88.39,86.55,76,87,39,8,2,1,3,Placed
22,Female,9.22,56.7,55.78,97,51,47,5,3,2,4,Placed
23,Male,7.73,82.67,96.62,35,72,72,8,1,0,3,Placed
23,Female,6.05,97.62,73.41,92,88,32,3,5,0,0,Placed
22,Female,6.52,60.63,65.61,44,69,76,3,1,1,3,Placed
23,Female,7.21,56.7,96.08,98,61,94,7,5,1,2,Placed
23,Female,6.56,90.78,63.97,32,53,58,3,4,0,4,Placed
23,Male,8.67,83.32,89.34,77,54,63,2,2,1,2,Not Placed
20,Female,6.67,64.77,81.24,66,85,61,3,1,2,4,Not Placed
22,Female,5.96,84.38,94.87,41,54,99,6,3,1,2,Not Placed
23,Female,9.52,85.71,83.44,33,73,64,8,5,0,3,Placed
23,Female,6.94,90.17,63.0,33,58,96,3,0,2,3,Not Placed
21,Male,6.94,57.6,71.42,41,93,69,1,3,2,2,Not Placed
20,Male,7.66,91.33,55.47,67,70,31,1,5,2,4,Not Placed
22,Male,9.27,97.91,64.81,46,45,97,7,0,1,3,Placed
21,Female,7.4,82.16,78.44,30,99,65,9,0,2,2,Placed
22,Male,7.74,92.61,95.91,72,31,70,9,4,1,0,Placed
21,Female,7.73,84.65,82.63,48,75,48,8,2,2,5,Placed
23,Female,7.26,82.26,88.97,63,58,42,3,5,2,0,Not Placed
22,Male,5.55,62.62,77.24,85,100,40,4,4,2,3,Placed
21,Female,6.3,85.45,87.89,45,42,45,6,2,0,4,Not Placed
22,Male,9.44,81.64,96.13,97,41,83,6,1,0,0,Placed
22,Male,6.7,57.92,75.94,64,100,85,10,0,2,1,Placed
21,Male,6.73,67.34,90.15,57,27,69,3,0,2,3,Not Placed
22,Female,8.75,75.63,91.11,34,74,96,3,4,1,2,Not Placed
21,Female,7.74,92.41,56.87,57,60,44,4,2,0,2,Not Placed
22,Male,6.14,86.94,95.55,38,77,75,5,5,0,1,Placed
23,Male,9.27,70.85,93.12,48,84,98,10,5,2,1,Placed
23,Female,8.2,60.04,55.52,81,77,49,9,2,1,2,Not Placed
20,Male,7.14,67.79,95.18,44,82,49,6,2,2,1,Placed
22,Female,9.46,90.14,55.9,30,73,48,6,4,2,2,Placed
22,Male,8.67,83.33,88.78,47,81,76,10,5,0,1,Placed
22,Female,7.03,90.51,80.83,35,79,62,10,1,2,4,Placed
20,Male,6.49,65.41,84.59,96,47,82,4,5,2,4,Placed
23,Male,9.07,74.08,85.43,68,63,63,1,2,1,1,Not Placed
22,Female,7.33,80.03,76.61,95,81,41,2,5,0,0,Placed
23,Male,6.27,68.98,74.85,57,24,100,3,5,0,4,Not Placed
21,Female,8.13,84.65,84.25,55,64,30,8,2,1,1,Not Placed
20,Female,7.26,57.45,70.84,84,79,90,2,4,0,3,Not Placed
21,Male,9.63,86.27,81.36,83,100,92,10,1,1,2,Placed
21,Male,7.79,76.14,75.98,97,29,95,10,2,0,3,Placed
23,Female,7.44,69.6,62.49,74,84,57,7,5,1,5,Placed
23,Male,7.64,92.29,85.48,54,96,84,3,3,1,2,Placed
23,Male,8.57,86.11,87.52,99,79,65,8,2,0,0,Not Placed
22,Female,7.81,90.99,68.03,97,53,94,5,3,1,1,Placed
22,Male,5.78,80.47,86.33,48,26,90,1,0,1,0,Not Placed
20,Female,5.68,70.06,93.45,72,61,59,5,3,0,3,Not Placed
21,Female,8.27,91.74,76.75,37,91,36,8,2,0,2,Placed
20,Male,6.05,62.18,72.39,55,78,90,2,1,2,3,Not Placed
22,Female,6.22,64.27,82.36,89,78,69,8,5,2,5,Not Placed
20,Male,6.47,78.88,97.14,78,22,90,6,4,0,0,Not Placed
22,Female,7.0,84.83,57.5,68,97,83,2,2,2,0,Not Placed
23,Male,8.59,97.02,62.93,98,25,77,5,1,0,3,Placed
20,Female,6.4,96.09,57.59,32,55,46,6,4,1,2,Not Placed
23,Male,7.42,92.12,67.13,88,32,94,3,0,2,2,Not Placed
21,Female,8.05,84.99,57.59,49,20,55,6,5,1,0,Not Placed
22,Male,8.81,67.94,81.07,62,74,96,4,4,0,2,Not Placed
21,Male,8.87,65.05,62.22,93,70,78,10,2,1,1,Placed
21,Male,6.39,72.04,57.91,53,43,68,5,5,0,4,Placed
21,Male,5.98,84.88,74.76,93,40,31,3,3,0,0,Not Placed
23,Male,7.66,97.47,93.14,46,61,80,3,2,0,2,Placed
23,Male,6.67,56.29,89.61,70,81,47,3,1,2,0,Not Placed
21,Female,6.26,93.0,64.75,80,99,56,7,1,2,2,Placed
